InitializationTime;ForecastTime;Horizon;Member;type;lon;lat;X;Y;prmsl;X1;Y1;Xs;Ys;id1;id2
2022-08-09 12:00:00;2022-08-10 12:00:00;24;1;Perturbed;138.11;27.13;808290.619989752;3004645.5267193;100748.4296875;-1.79455637735197;2.20945714342181;0.722162851226812;-0.811106032780892;20220809120000_20220810133000_01;01_09_01
2022-08-09 12:00:00;2022-08-10 15:00:00;27;1;Perturbed;138.24;27.45;820261.661841506;3040463.92518572;100689.9375;-1.74332000762696;2.51990862377988;0.790120221604782;-0.710729698928886;20220809120000_20220810163000_01;01_10_01
2022-08-09 12:00:00;2022-08-10 18:00:00;30;1;Perturbed;138.44;28.05;838184.841930915;3107514.87773745;100544.34375;-1.66660833181118;3.10106435296793;0.891866769881072;-0.522828254794354;20220809120000_20220810193000_01;01_11_01
2022-08-09 12:00:00;2022-08-10 21:00:00;33;1;Perturbed;138.06;29.04;798009.834609551;3216272.78424814;100684.6640625;-1.8385584055235;4.04370987935952;0.663800751376967;-0.218048577299993;20220809120000_20220810223000_01;01_12_01
2022-08-09 12:00:00;2022-08-11 00:00:00;36;1;Perturbed;137.17;29.48;710393.93436595;3263138.74885959;100745.3515625;-2.21355673183985;4.44991475492573;0.166421637880578;-0.0867128975502343;20220809120000_20220811013000_01;01_13_01
2022-08-09 12:00:00;2022-08-11 03:00:00;39;1;Perturbed;136.92;29.76;685631.643218547;3293740.54395607;100692.7109375;-2.31953998043076;4.71515197925949;0.0258507325450028;-0.000955406076858691;20220809120000_20220811043000_01;01_14_01
2022-08-09 12:00:00;2022-08-09 12:00:00;0;2;Perturbed;142.18;24.69;1227591.49772092;2749733.45785931;100888.4296875;0;0;3.10245567792086;-1.52546345863786;20220809120000_20220809133000_02;01_01_02
2022-08-09 12:00:00;2022-08-09 15:00:00;3;2;Perturbed;141.81;25.44;1185746.39740252;2831234.67720733;100816.8828125;-0.179098115071705;0.706401605903662;2.86490885317026;-1.29706704916996;20220809120000_20220809163000_02;01_02_02
2022-08-09 12:00:00;2022-08-09 18:00:00;6;2;Perturbed;140.27;25.24;1031228.4354525;2801956.20141279;100683.7109375;-0.840439001326003;0.452634085796245;1.98773922162746;-1.37911611297123;20220809120000_20220809193000_02;01_03_02
2022-08-09 12:00:00;2022-08-09 21:00:00;9;2;Perturbed;139.95;25.17;999217.068615746;2792949.46402033;100699.515625;-0.977448481951149;0.374569318067866;1.80601666653411;-1.40435630566912;20220809120000_20220809223000_02;01_04_02
2022-08-09 12:00:00;2022-08-10 00:00:00;12;2;Perturbed;139.75;25.41;978058.748243243;2818862.23214006;100672.65625;-1.06800664211721;0.599164988655538;1.68590483066084;-1.33173919336989;20220809120000_20220810013000_02;01_05_02
